i,outer_lat,outer_lon,inner_lat,inner_lon
137,42.7146586078646,23.273181409091087,42.71467153896995,23.273059617391393
138,42.714641104566304,23.273156460871995,42.71465136622319,23.273033516078012
139,42.71462306899918,23.273131894778896,42.71463055491762,23.273007921029485
140,42.71460448251454,23.273107742907886,42.714615294150676,23.272989980265343
141,42.71458532208861,23.273084043882417,42.714599607511204,23.272972266919705
142,42.71456556108761,23.273060843395637,42.71457714365994,23.27294810991025
143,42.714545169241966,23.273038195576078,42.71455393031837,23.272924672364336
144,42.71452411277956,23.27301616459384,42.714529936608045,23.27290203480052
145,42.71450235479544,23.272994826533758,42.71450512289059,23.27288029967249
146,42.71447985596644,23.272974271547906,42.714479442501755,23.27285959642938
147,42.71445656962482,23.27295461381354,42.71445987669444,23.2728450318052
148,42.7144324555352,23.27293598160382,42.71443971309586,23.272831131514806
149,42.714407469463325,23.272918537206657,42.71441173592069,23.272813660144024
150,42.71438157490905,23.27290247393963,42.714390196803286,23.27280167053574
151,42.71436118734442,23.27289129287994,42.714373271600905,23.272793148638414
152,42.71433471337507,23.272878690969797,42.714345153985875,23.27278074324726
153,42.71431184168559,23.272869624648955,42.71431410472215,23.272769623297474
154,42.71428934734589,23.272862336236855,42.71428985852624,23.27276282854745
155,42.71425969896017,23.272855330040237,42.714265044079156,23.27275764354984
156,42.71422950325647,23.272851307384414,42.71423988274024,23.272754213809957
157,42.71420532066473,23.27285044701042,42.71421449842543,23.272752693051324
158,42.71418111418511,23.27285175902292,42.71418153956633,23.27275369237825
159,42.714151040546945,23.272856588071587,42.714148865618704,23.272758125898847
160,42.71412173758751,23.272864900839917,42.71411684183941,23.27276598000327
161,42.7140993457025,23.2728737985518,42.714092834656526,23.272774219651243
162,42.71407788294915,23.272884531850604,42.71406963473178,23.272784245092094
163,42.71405197210957,23.2729005539341,42.714040561797454,23.27279980967351
164,42.7140276420524,23.272918891588997,42.714019543932466,23.272813268498883
165,42.71400489825228,23.272939166184557,42.71399956531046,23.272827898902065
166,42.713983692176654,23.272961046365587,42.71397955089247,23.272844463045775
167,42.71396394291435,23.27298425165951,42.71395653359746,23.272866047701505
168,42.713945554610724,23.27300855086825,42.71393394630337,23.272890083797506
169,42.713932854360735,23.273026988592612,42.71391835452032,23.272908470354814
170,42.71391659329652,23.273052761390183,42.71390366104449,23.272927266086654
171,42.71390143057771,23.273079195835795,42.71388446714928,23.27295409186653
172,42.71388727950331,23.27310618578131,42.713871466222805,23.272973839342914
173,42.71387406269383,23.273133645666128,42.7138543520214,23.273002039182618
174,42.71386171339975,23.273161506726517,42.71384296640566,23.27302230697745
175,42.71385361079528,23.273181083052684,42.713827677391386,23.273051537091526
176,42.71384258328131,23.27320949342211,42.71381337215267,23.273081261520424
177,42.713832276465034,23.27323817333429,42.71379998530903,23.273111410950147
178,42.713822637574324,23.27326708466739,42.71378744852386,23.273141923829474
179,42.71381645229603,23.27328685417237,42.7137757170914,23.273172755465318
180,42.71380784106632,23.273316088146576,42.71376473777088,23.27320386296978
181,42.71380497321945,23.273326393339833,42.71375764174031,23.273225257008974
182,42.71379800694515,23.273352392781913,42.713750903341776,23.273246663248408
183,42.7137945409069,23.273366045370963,42.713741530916835,23.27327829217973
184,42.71378864348443,23.273390383780043,42.713732787285984,23.273310100808057
185,42.71378291785948,23.27341559548786,42.713727233412556,23.27333168250565
186,42.71377866412659,23.273435486713204,42.7137219165697,23.273353306949012
187,42.713772681540654,23.273465369831257,42.71371453213436,23.273385458419572
188,42.71376896835636,23.273485278078486,42.71370987218375,23.273407152811828
189,42.7137637483262,23.273515303828642,42.713707578817655,23.27341825838645
190,42.71375897522338,23.27354540389163,42.71370126135818,23.27345063644182
191,42.71375605995701,23.273565346779648,42.71369730395486,23.273472404350866
192,42.713752003005496,23.273595551718106,42.713691822214116,23.273504934387564
193,42.713748373102725,23.273625810964578,42.71368682606143,23.273537542549278
194,42.71374516477063,23.27365611782051,42.7136823071131,23.273570220272653
195,42.713742378100115,23.273686466353645,42.71367911776816,23.273595683701085
196,42.71374001153757,23.27371685052402,42.713675818915966,23.27362482945531
197,42.71373806640972,23.273747264573895,42.713673590645136,23.27364669277206
198,42.71373672599345,23.273773587149776,42.71367062728428,23.27367954810375
199,42.713735778037204,23.273797720045103,42.713668134903585,23.27371244250285
200,42.71373520278992,23.273817735546206,42.71366712085137,23.27372787628659
201,42.7137347874343,23.273838889728758,42.713665538285355,23.273756221286554
